Id,SMILES,Protein,Ligand,type,Heavy Atoms,Mol. weight [g/mol],Exp. Affinity,Binder prob mean,Binder prob std,dG [kcal/mol] mean,dG [kcal/mol] std,Lig. Efficiency [kcal/mol] mean,Lig. Efficiency [kcal/mol] std,Pic50 mean,Pic50 std,Pkd mean,Pkd std
test144,NC(=[NH2+])c1ccc(C(=O)NCC2CCN(C(=O)NCCC(c3ccccc3)c3ccccc3)CC2)cc1,2ZEC.pdb,2ZEC_5_processed.sdf,actives,37,498.651,0,0.403730716,0.486884963,-8.954115067,-0.356925287,-0.24200311,-0.009646629,6.632807732,0.339079379,6.632677828,0.264389102
test146,CC(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)c1nccs1,2ZEC.pdb,2ZEC_6_processed.sdf,actives,27,397.481,0,0.990264738,0.009062444,-7.016396601,-0.412589497,-0.259866541,-0.015281092,5.175093991,0.262064104,5.197330815,0.305621849
test148,Cc1cc(C)c(CNc2nc(Cl)c(C)n(CC(=O)Nc3cccc(C[NH3+])c3)c2=O)cc1C[NH3+],2ZEC.pdb,2ZEC_7_processed.sdf,actives,33,471.005,0,0.000629356,0.001258337,-8.774923396,-0.60695812,-0.26590677,-0.01839267,6.399053982,0.45973803,6.499943256,0.449598607
test150,NC(=[NH2+])N1CCC[C@H](C[C@H]2C(=O)N(C(=O)N3CCN(C(=O)CCCCCc4ccccn4)CC3)[C@@H]2C(=O)[O-])C1,2ZEC.pdb,2ZEC_8_processed.sdf,actives,39,541.653,0,0.599875341,0.4897961,-9.060081329,-0.763523817,-0.232309778,-0.019577534,6.86917448,0.492640672,6.711171355,0.565573198
test152,[NH3+]Cc1cccc(C2CCN(C(=O)c3cn(-c4nccs4)c4ccccc34)CC2)c1,2ZEC.pdb,2ZEC_9_processed.sdf,actives,30,417.558,0,0.576122896,0.365093801,-7.764491057,-0.735704749,-0.258816369,-0.024523492,5.800895691,0.412595859,5.751474857,0.544966481
test174,CN(c1ncccc1CNc1nc(Nc2ccc3c(c2)CC(=O)N3)ncc1C(F)(F)F)S(C)(=O)=O,3BZ3.pdb,3BZ3_0_processed.sdf,actives,35,507.498,0,1,0,-11.58308073,-0.44441855,-0.330945164,-0.012697673,8.397946835,0.31892563,8.580059801,0.329198926
test215,C[C@@H](C(=O)N(C)C)N(CC(F)(F)F)c1ccc(C#N)c(C(F)(F)F)c1,3G8O.pdb,3G8O_0_processed.sdf,actives,25,367.293,0,1,0,-9.020860781,-0.404256539,-0.360834431,-0.016170262,6.769983837,0.450537796,6.682119097,0.299449288
test216,C[NH2+][C@H]1[C@H]2O[C@@](C[C@H]([NH3+])C(=O)[O-])(C(=O)[O-])C[C@H]2OC[C@H]1O,3GBA.pdb,3GBA_0_processed.sdf,actives,21,304.299,0,1,0,-9.102587383,-1.29890084,-0.433456542,-0.061852421,6.799394335,1.01215635,6.742657321,0.96214877
test217,[NH3+][C@@H](C[C@]1(C(=O)[O-])C[C@H]2OCCC[C@H]2O1)C(=O)[O-],3GBB.pdb,3GBB_0_processed.sdf,actives,18,258.25,0,1,0,-8.274219867,-1.020481705,-0.459678882,-0.056693428,6.173722335,0.735825853,6.129051753,0.755912374
test218,C[N@H+]1CC[C@H](N(Cc2ccccc2C(F)(F)F)c2ccc(C#N)c(Cl)c2)C1,3HQ5.pdb,3HQ5_0_processed.sdf,actives,27,394.848,0,1,0,-10.98276649,-0.441685696,-0.406769129,-0.016358729,8.060584,0.3612315,8.135382584,0.327174589
test219,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)[O-],3HS6.pdb,3HS6_0_processed.sdf,actives,22,301.45,0,0.999999952,9.54E-08,-8.551460746,-0.766777632,-0.388702761,-0.034853529,6.046219553,0.487464178,6.334415368,0.567983431
test220,Cc1ccccc1CN(c1ccc(C#N)c(Cl)c1)[C@H]1CCN(S(C)(=O)=O)C1,3KBA.pdb,3KBA_0_processed.sdf,actives,27,403.935,0,0.999999499,1.00E-06,-11.51338011,-0.405922003,-0.426421486,-0.015034148,8.423335212,0.398037653,8.528429713,0.300682965
test241,[NH3+]CCCC[C@H]([NH2+][C@@H](CCc1ccccc1)C(=O)[O-])C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-],3L3N.pdb,3L3N_0_processed.sdf,actives,36,494.592,0,1,0,-10.93367829,-0.811874188,-0.303713286,-0.022552061,8.257374082,0.933546659,8.099020958,0.601388287
test242,O=C([O-])C1=Cc2cc(Cl)cc(Cl)c2O[C@@H]1C(F)(F)F,3LN0.pdb,3LN0_0_processed.sdf,actives,19,312.05,0,0.99955765,0.000652676,-7.175279689,-0.863248372,-0.377646299,-0.045434125,5.513345855,0.706928792,5.315021992,0.639443238
test243,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,3LN1.pdb,3LN1_0_processed.sdf,actives,26,381.379,0,0.999999166,1.67E-06,-9.746653022,-0.743164855,-0.37487127,-0.028583264,7.23477929,0.599579573,7.219742979,0.550492485
test264,COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1,3NT1.pdb,3NT1_0_processed.sdf,actives,17,229.255,0,0.999977088,4.56E-05,-7.314262319,-0.564545236,-0.430250725,-0.033208543,5.416975634,0.53410147,5.417972088,0.418181656
test265,CSc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1,3NTB.pdb,3NTB_0_processed.sdf,actives,17,245.323,0,0.999999309,1.38E-06,-7.649402404,-0.861891333,-0.449964847,-0.05069949,5.733965329,0.625051059,5.666224003,0.638438024
test266,CC(C)COc1c(Cl)cc2c(c1Cl)O[C@@H](C(F)(F)F)C(C(=O)[O-])=C2,3NTG.pdb,3NTG_0_processed.sdf,actives,24,384.157,0,1,0,-9.766874702,-0.714030549,-0.406953113,-0.029751273,7.105336053,0.576362914,7.234722001,0.528911518
test267,CC(=O)N[C@@H](CC(=O)[O-])C(=O)N[C@@H](Cc1ccccc1)[P@@](=O)([O-])C[C@@H](C)C(=O)N[C@@H](C)C(N)=O,3NXQ.pdb,3NXQ_0_processed.sdf,actives,34,496.457,0,1,0,-10.48320751,-1.254141283,-0.308329633,-0.036886508,7.92245497,0.682649741,7.765338898,0.928993543
test268,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)[O-],3OLT.pdb,3OLT_0_processed.sdf,actives,22,303.466,0,1,0,-8.421750774,-0.757344261,-0.382806853,-0.034424739,6.025566101,0.637664086,6.238333906,0.560995749
test269,C[C@H](C(=O)[O-])c1ccc(-c2ccccc2)c(F)c1,3PGH.pdb,3PGH_0_processed.sdf,actives,18,243.257,0,0.999618137,0.000763249,-6.521689051,-0.596874428,-0.362316058,-0.03315969,4.883940765,0.400729582,4.830880778,0.442129206
test270,COc1ccc2cc([C@@H](C)C(=O)[O-])ccc2c1,3Q7D.pdb,3Q7D_0_processed.sdf,actives,17,229.255,0,1,0,-7.309603276,-0.568786119,-0.429976663,-0.033458007,5.370391778,0.511287541,5.414520945,0.421323051
test271,C[C@@H](C(=O)[O-])c1ccc(-c2ccccc2)c(F)c1,3RR3.pdb,3RR3_0_processed.sdf,actives,18,243.257,0,0.999999571,8.58E-07,-6.664965728,-0.458039048,-0.370275874,-0.025446614,5.019225529,0.305603823,4.937011651,0.339288184
test272,[NH3+][C@@H](Cn1c(=O)n(Cc2ccsc2C(=O)[O-])c(=O)c2cscc21)C(=O)[O-],3S2V.pdb,3S2V_0_processed.sdf,actives,26,394.41,0,0.980294728,0.039410543,-9.240090721,-0.386223,-0.355388105,-0.014854731,6.970108782,0.307907806,6.844511645,0.286091111
test273,O=C1COc2ccc(C3=Nn4cnnc4S[C@H]3c3ccccc3)cc2N1,3VHV.pdb,3VHV_0_processed.sdf,actives,26,363.402,0,0.999964213,5.78E-05,-9.448631981,-0.969300171,-0.363408922,-0.037280776,7.079959256,0.727234017,6.998986653,0.718000127
test274,c1cc(N2CC[NH2+]CC2)c2cc[nH]c2c1,3ZPQ.pdb,3ZPQ_0_processed.sdf,actives,15,202.281,0,0.999820268,0.000357441,-7.952377408,-1.31189578,-0.530158494,-0.087459719,5.879386221,0.989935157,5.890649932,0.971774651
test275,Cc1cc(N2CC[NH2+]CC2)nc2ccccc12,3ZPR.pdb,3ZPR_0_processed.sdf,actives,17,228.319,0,1,0,-8.915075316,-0.280859352,-0.524416195,-0.016521138,6.500202928,0.371711042,6.603759493,0.208043964
test276,Cc1noc(C)c1-c1ccc(CNS(=O)(=O)c2c(C)nn(C)c2Cl)cc1,4APU.pdb,4APU_0_processed.sdf,actives,26,394.884,0,0.999995303,9.33E-06,-8.967694095,-0.339731109,-0.344911311,-0.013066581,6.826718262,0.271187855,6.642736367,0.251652673
test277,C[C@H](C[P@@](=O)([O-])[C@H](Cc1ccccc1)NC(=O)[C@H]([NH3+])Cc1nnn[n-]1)C(=O)N[C@@H](C)C(N)=O,4BXK.pdb,4BXK_0_processed.sdf,actives,33,479.458,0,1,0,-10.96376072,-1.096150691,-0.332235173,-0.033216688,8.170623575,0.806659513,8.12130424,0.811963475
test278,COc1ccc2c(c1)c(CC(=O)[O-])c(C)n2C(=O)c1ccc(Cl)cc1,4COX.pdb,4COX_0_processed.sdf,actives,25,356.785,0,1,0,-5.945400473,-0.611205606,-0.237816019,-0.024448224,4.798724583,0.552202987,4.40400035,0.452744894
test279,[NH3+][C@@H](Cc1cc(Cl)c(N([O-])O)cc1CCC(=O)[O-])C(=O)[O-],4DLD.pdb,4DLD_0_processed.sdf,actives,21,316.697,0,0.999999928,1.43E-07,-8.58042842,-0.37560985,-0.40859183,-0.017886183,6.391876221,0.430398989,6.355872904,0.278229519
test280,C=C(C)[C@H]1C[NH2+][C@H](C(=O)[O-])[C@H]1CC(=O)[O-],4E0X.pdb,4E0X_0_processed.sdf,actives,15,212.225,0,0.999999571,8.58E-07,-7.784966918,-0.469656195,-0.518997795,-0.031310413,5.778219496,0.220303056,5.766642162,0.347893477
test281,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)[O-],4E1G.pdb,4E1G_0_processed.sdf,actives,20,277.428,0,0.999091017,0.001192053,-9.257597515,-0.929154822,-0.462879876,-0.046457741,6.618898119,0.505045448,6.85747964,0.688262831
test282,O=C([O-])Cc1ccc(-c2ccccc2)c(F)c1,4FM5.pdb,4FM5_0_processed.sdf,actives,17,229.23,0,0.999944055,0.000111533,-6.452766425,-0.508767177,-0.379574496,-0.029927481,4.841565268,0.473369253,4.779826982,0.376864575
test283,Fc1ccccc1Nc1ncnc2[nH]ncc12,4GU9.pdb,4GU9_0_processed.sdf,actives,17,229.218,0,0.999946535,0.000106931,-5.967141816,-0.244819024,-0.351008342,-0.014401119,4.589249066,0.329272813,4.420105049,0.181347425
test284,CN1c2ccc(-c3ccc(C(=O)N4CCC(CCO)CC4)cc3)cc2-c2n[nH]cc2S1(=O)=O,4I4E.pdb,4I4E_0_processed.sdf,actives,33,466.563,0,0.999884748,0.000230443,-9.239817412,-0.462995686,-0.279994467,-0.014030172,6.804986068,0.486664434,6.844309194,0.342959768
test285,Brc1cncc(-c2nnn[n-]2)c1,4K8A.pdb,4K8A_0_processed.sdf,actives,12,225.029,0,0.999986291,1.48E-05,-5.565370601,-0.539554699,-0.463780883,-0.044962892,4.240455287,0.380279057,4.122496741,0.399670148
test286,Cc1n[nH]c2c[nH]nc12,4KAB.pdb,4KAB_0_processed.sdf,actives,9,122.131,0,0.001537453,0.001470928,-3.758113432,-0.662253974,-0.417568159,-0.073583775,2.914946726,0.602674538,2.783787727,0.4905585
test287,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Br)cc2)cc1,6COX.pdb,6COX_0_processed.sdf,actives,26,446.248,0,0.999189579,0.001599644,-10.17117568,-0.808782411,-0.391199065,-0.031107016,7.411516666,0.697084629,7.534204211,0.599098082
test14,O=C([O-])Cn1c(=O)c(=O)[nH]c2cc([N+](=O)[O-])c(-n3cccc3)cc21,1VSO.pdb,1VSO_10_d_processed.sdf,decoys,24,329.248,0,0.993139076,0.01372149,-8.067768339,-0.494518949,-0.336157014,-0.020604956,5.968981675,0.574647834,5.976124695,0.366310333
test15,[NH3+][C@@H](Cn1ccc(=O)n(Cc2ccsc2C(=O)[O-])c1=O)C(=O)[O-],1VSO.pdb,1VSO_11_d_processed.sdf,decoys,23,338.321,0,0.999271905,0.001456189,-8.190054631,-0.396894355,-0.356089332,-0.017256276,5.897919927,0.277919124,6.066707134,0.293995819
test16,O=c1[n-]c2cc([N+](=O)[O-])c([N+](=O)[O-])cc2cc1P(=O)([O-])[O-],1VSO.pdb,1VSO_12_d_processed.sdf,decoys,21,312.11,0,5.86E-06,1.14E-05,-8.233044219,-0.84114064,-0.392049725,-0.040054316,6.289312635,0.615526099,6.098551273,0.623067141
test17,[NH3+][C@@H](Cn1c(=O)[nH]c(=O)c2ccccc21)C(=O)[O-],1VSO.pdb,1VSO_13_d_processed.sdf,decoys,18,249.226,0,0.853379422,0.29323144,-6.262956195,-0.479952865,-0.347942011,-0.026664048,4.674180099,0.356265927,4.639226811,0.355520641
test18,CCN1CCc2c(c([N+](=O)[O-])cc3[nH]c(=O)c(=O)[nH]c23)C1,1VSO.pdb,1VSO_14_d_processed.sdf,decoys,21,290.279,0,0.999762189,0.000446635,-8.058890748,-0.406493559,-0.383756702,-0.019356836,5.904604026,0.369302793,5.969548702,0.30110634
test19,Nc1ccc2c(c1)Cc1c-2[nH]c(=O)c2nc(C(=O)[O-])cn12,1VSO.pdb,1VSO_15_d_processed.sdf,decoys,21,281.251,0,0.984463704,0.030685931,-6.202317963,-0.339225294,-0.295348474,-0.016153585,4.655877931,0.161941628,4.594309602,0.251277995
test20,O=C([O-])c1cn(C[C@H]2CC[C@H]3C[NH2+][C@H](C(=O)[O-])C[C@H]3C2)cn1,1VSO.pdb,1VSO_16_d_processed.sdf,decoys,22,306.342,0,0.800057676,0.399871475,-7.05329034,-0.859957341,-0.320604106,-0.03908897,5.184127467,0.61552654,5.224659511,0.637005438
test21,O=C([O-])c1cn2c3c([nH]c(=O)c2n1)-c1ccc(F)cc1C3,1VSO.pdb,1VSO_17_d_processed.sdf,decoys,21,284.226,0,0.801008433,0.397733828,-6.382454814,-0.50019882,-0.30392642,-0.023818991,4.846553939,0.352082407,4.727744307,0.370517644
test22,[NH3+][C@@H](Cn1c2c(c(=O)[nH]c1=O)CCC2)C(=O)[O-],1VSO.pdb,1VSO_18_d_processed.sdf,decoys,17,239.231,0,0.99329195,0.0134161,-6.318821904,-0.703477905,-0.371695406,-0.041381053,4.670262064,0.507318375,4.680608818,0.521094745
test23,[NH3+][C@@H](Cn1c(=O)[nH]c(=O)c2sccc21)C(=O)[O-],1VSO.pdb,1VSO_19_d_processed.sdf,decoys,17,255.255,0,0.997543931,0.004912138,-6.788612774,-0.724476415,-0.399330163,-0.04261626,5.142719541,0.553088977,5.028602055,0.536649196
test24,[NH3+]Cc1ccn(-c2cc3c(cc2[N+](=O)[O-])[nH]c(=O)c(=O)n3CC(=O)[O-])c1,1VSO.pdb,1VSO_1_d_processed.sdf,decoys,26,359.298,0,0.998282504,0.003373046,-8.034545425,-0.246703114,-0.309020978,-0.009488581,6.00018004,0.375684371,5.95151513,0.182743047
test25,O=c1[nH]c2cc(Cl)c(Cl)cc2cc1P(=O)([O-])[O-],1VSO.pdb,1VSO_20_d_processed.sdf,decoys,17,292.014,0,0.103316849,0.205294534,-6.11842429,-0.374771931,-0.359907311,-0.022045408,4.516202995,0.184556889,4.53216614,0.277608837
test26,O=C([O-])Cn1c(=O)c(=O)[nH]c2cc([N+](=O)[O-])c(-n3ccc(C[NH+]4CCCCC4)c3)cc21,1VSO.pdb,1VSO_2_d_processed.sdf,decoys,31,427.417,0,0.984113038,0.031769216,-9.434009835,-0.632828972,-0.304322898,-0.020413838,6.980420521,0.583190342,6.988155433,0.468762202
test27,C[N@H+](Cc1ccccc1)Cc1ccn(-c2cc3c(cc2[N+](=O)[O-])[nH]c(=O)c(=O)n3CCC(=O)[O-])c1,1VSO.pdb,1VSO_3_d_processed.sdf,decoys,35,477.477,0,0.435879817,0.458713011,-9.05965803,-0.595455927,-0.258847372,-0.017013026,6.822970731,0.753361712,6.7108578,0.441078464
test28,O=C([O-])Cn1c(=O)c(=O)[nH]c2cc([N+](=O)[O-])c(-n3ccc(C[NH+]4CCN(Cc5ccccc5)CC4)c3)cc21,1VSO.pdb,1VSO_4_d_processed.sdf,decoys,38,518.53,0,0.999953604,5.91E-05,-9.787779931,-0.81937185,-0.257573156,-0.021562417,7.258724962,0.763689633,7.250207356,0.606942111
test29,[NH3+][C@@H](Cn1ccc(=O)n(Cc2ccccc2C(=O)[O-])c1=O)C(=O)[O-],1VSO.pdb,1VSO_5_d_processed.sdf,decoys,24,332.292,0,0.900510836,0.181560705,-7.234958441,-0.36521862,-0.301456602,-0.015217443,5.373065676,0.198441852,5.359228475,0.270532311
test30,O=C([O-])Cn1c(=O)c(=O)[nH]c2cc([N+](=O)[O-])c(-n3ccc(C[NH2+]CCCc4ccccc4)c3)cc21,1VSO.pdb,1VSO_6_d_processed.sdf,decoys,35,477.477,0,0.999960613,6.32E-05,-9.791917552,-0.851276193,-0.279769073,-0.024322177,7.469179085,0.813204773,7.253272261,0.630574958
test31,[NH3+][C@@H](Cn1cc(F)c(=O)n(Cc2ccccc2C(=O)[O-])c1=O)C(=O)[O-],1VSO.pdb,1VSO_7_d_processed.sdf,decoys,25,350.282,0,0.601377887,0.250819944,-7.424993103,-0.534547516,-0.296999724,-0.021381901,5.521402563,0.376917288,5.499994891,0.395961123
test32,[NH3+][C@@H](Cn1c(=O)c(=O)[nH]c2ccccc21)C(=O)[O-],1VSO.pdb,1VSO_8_d_processed.sdf,decoys,18,249.226,0,0.980470467,0.039058948,-5.798302245,-0.809946884,-0.322127903,-0.044997049,4.235854353,0.542985037,4.2950387,0.599960655
test33,O=C([O-])Cn1c(=O)c(=O)[nH]c2cc([N+](=O)[O-])c(-n3ccc(C[NH+]4CCC(c5ccccc5)CC4)c3)cc21,1VSO.pdb,1VSO_9_d_processed.sdf,decoys,37,503.515,0,0.573739457,0.463667396,-9.838304104,-0.773955032,-0.265900111,-0.020917704,7.293037619,0.912899139,7.28763267,0.573300024
test38,CCCOC(=O)c1c(NC(=O)c2ccccc2F)sc2c1CCCC2,2AA2.pdb,2AA2_10_d_processed.sdf,decoys,25,361.438,0,1.13E-09,2.20E-09,-8.66873514,-0.754032092,-0.346749406,-0.030161284,6.350496496,0.408744998,6.421285289,0.558542291
test39,CC(C)c1cccc(C(C)C)c1NC(=O)[C@@H](C)Sc1ccc(Cl)nn1,2AA2.pdb,2AA2_11_d_processed.sdf,decoys,25,377.941,0,0.267873903,0.275687881,-9.629186429,-0.81431385,-0.385167457,-0.032572554,7.045054368,0.615154681,7.132730688,0.603195445
test40,O=C(CCc1ccc2c(c1)OCO2)NCCc1ccc(Br)s1,2AA2.pdb,2AA2_12_d_processed.sdf,decoys,22,382.279,0,0.470101331,0.429212629,-7.556086911,-0.646963551,-0.343458496,-0.029407434,5.583420209,0.25905467,5.597101416,0.47923226
test41,Cc1[nH]c2ccccc2c1C(=O)CN1CCN(Cc2ccc3c(c2)OCO3)CC1,2AA2.pdb,2AA2_13_d_processed.sdf,decoys,29,391.471,0,2.69E-09,2.79E-09,-8.77646467,-0.428485927,-0.302636713,-0.014775377,6.506039347,0.311182792,6.501084941,0.317396983
test42,CCCc1ccc(-c2nc(NC(=O)Cc3csc(C)n3)sc2C)cc1,2AA2.pdb,2AA2_14_d_processed.sdf,decoys,25,371.531,0,0.001234681,0.002469287,-9.431034882,-0.858911091,-0.377241395,-0.034356444,6.97437988,0.713464466,6.985951764,0.636230438
test43,O=C(C[C@H]1C[C@H]2CC[C@@H]1C2)[N-]c1nnc(SCc2ccc(F)cc2)s1,2AA2.pdb,2AA2_15_d_processed.sdf,decoys,25,376.502,0,3.44E-09,6.89E-09,-8.151700452,-0.756670092,-0.326068018,-0.030266804,6.302167347,0.623179034,6.038296631,0.560496364
test44,CCCSc1nnc([N-]C(=O)[C@@H]2[C@@H](C=C(Cl)Cl)C2(C)C)s1,2AA2.pdb,2AA2_16_d_processed.sdf,decoys,21,365.331,0,4.71E-15,8.20E-15,-8.972311664,-0.889136682,-0.427252936,-0.042339842,6.676256929,0.741266945,6.646156788,0.658619764
test45,C[C@@H](Oc1ccc(Br)cc1)C(=O)N/N=C/C=C/c1ccccc1,2AA2.pdb,2AA2_17_d_processed.sdf,decoys,23,373.25,0,0.200430222,0.397581221,-7.941525865,-0.967994952,-0.345283733,-0.042086737,5.809419496,0.593970734,5.882611752,0.717033298
test46,CCCNC(=O)[C@H](C)Sc1ncnc2scc(-c3ccc(C)cc3)c12,2AA2.pdb,2AA2_18_d_processed.sdf,decoys,25,371.531,0,2.09E-05,3.89E-05,-8.361537818,-0.804268121,-0.334461513,-0.032170725,6.258429187,0.582969567,6.193731717,0.595754164
test47,O=C(CSc1[nH+]cc2ccccn12)Nc1ccccc1Cc1ccccc1,2AA2.pdb,2AA2_19_d_processed.sdf,decoys,27,374.489,0,5.26E-05,6.96E-05,-8.007437856,-0.552829038,-0.296571772,-0.02047515,6.012089661,0.314842955,5.931435449,0.409502991
test48,CN(Cc1ccccc1)Cc1cccc(-c2nc(C(F)(F)F)cc(=O)[nH]2)c1,2AA2.pdb,2AA2_1_d_processed.sdf,decoys,27,373.378,0,4.43E-07,7.72E-07,-7.830621089,-0.748201415,-0.290023003,-0.027711164,5.910867487,0.532322544,5.800460066,0.55422327
test49,CN(C)C(=O)Sc1ccc(NC(=O)CCc2ccc(Cl)s2)cc1,2AA2.pdb,2AA2_20_d_processed.sdf,decoys,23,368.911,0,2.32E-11,3.04E-11,-8.600522089,-0.608091305,-0.373935743,-0.026438752,6.33779771,0.609326174,6.370757103,0.450438004
test50,Cc1ccccc1[C@H]([NH2+]Cc1c[nH]nc1-c1ccc(F)cc1)c1ccncc1,2AA2.pdb,2AA2_2_d_processed.sdf,decoys,28,373.455,0,3.86E-05,7.72E-05,-9.255550637,-0.876428245,-0.33055538,-0.031301009,6.901135445,0.578402811,6.855963434,0.649206108
test51,Cc1ccc(Nc2nc3ccccn3c(=O)c2/C=N/Cc2cccnc2)cc1,2AA2.pdb,2AA2_3_d_processed.sdf,decoys,28,369.428,0,1.58E-07,2.07E-07,-9.088184381,-0.905565856,-0.324578014,-0.032341638,6.658765861,0.705981982,6.73198843,0.670789523
test52,Clc1ccccc1[C@@H](CNc1nnnn1-c1ccccc1)[NH+]1CCCC1,2AA2.pdb,2AA2_4_d_processed.sdf,decoys,26,369.88,0,0.128254251,0.175997757,-8.234228131,-0.849276748,-0.316701082,-0.03266449,6.236539568,0.606211025,6.099428245,0.629093888
